location_id,zip,city,state,county
1,601,Adjuntas,PR,Adjuntas
2,610,Anasco,PR,Añasco
3,647,Ensenada,PR,Guánica
4,652,Garrochales,PR,Arecibo
5,662,Isabela,PR,Isabela
6,667,Lajas,PR,Lajas
7,674,Manati,PR,Manatí
8,683,San German,PR,San Germán
9,692,Vega Alta,PR,Vega Alta
10,694,Vega Baja,PR,Vega Baja
11,698,Yauco,PR,Yauco
12,703,Aguas Buenas,PR,Aguas Buenas
13,720,Orocovis,PR,Orocovis
14,725,Caguas,PR,Caguas
15,728,Ponce,PR,Ponce
16,731,Ponce,PR,Ponce
17,735,Ceiba,PR,Ceiba
18,738,Fajardo,PR,Fajardo
19,754,San Lorenzo,PR,San Lorenzo
20,773,Luquillo,PR,Luquillo
21,777,Juncos,PR,Juncos
22,782,Comerio,PR,Comerío
23,783,Corozal,PR,Corozal
24,784,Guayama,PR,Guayama
25,794,Barranquitas,PR,Barranquitas
26,912,San Juan,PR,San Juan
27,915,San Juan,PR,San Juan
28,927,San Juan,PR,San Juan
29,949,Toa Baja,PR,Toa Baja
30,952,Sabana Seca,PR,Toa Baja
31,956,Bayamon,PR,Bayamón
32,959,Bayamon,PR,Bayamón
33,961,Bayamon,PR,Bayamón
34,962,Catano,PR,Cataño
35,971,Guaynabo,PR,Guaynabo
36,987,Carolina,PR,Carolina
37,1005,Barre,MA,Worcester
38,1028,East Longmeadow,MA,Hampden
39,1029,East Otis,MA,Berkshire
40,1030,Feeding Hills,MA,Hampden
41,1035,Hadley,MA,Hampshire
42,1037,Hardwick,MA,Worcester
43,1039,Haydenville,MA,Hampshire
44,1073,Southampton,MA,Hampshire
45,1079,Thorndike,MA,Hampden
46,1080,Three Rivers,MA,Hampden
47,1082,Ware,MA,Hampshire
48,1089,West Springfield,MA,Hampden
49,1094,Wheelwright,MA,Worcester
50,1106,Longmeadow,MA,Hampden
51,1107,Springfield,MA,Hampden
52,1118,Springfield,MA,Hampden
53,1129,Springfield,MA,Hampden
54,1199,Springfield,MA,Hampden
55,1230,Great Barrington,MA,Berkshire
56,1235,Hinsdale,MA,Berkshire
57,1237,Lanesborough,MA,Berkshire
58,1242,Lenox Dale,MA,Berkshire
59,1243,Middlefield,MA,Hampshire
60,1255,Sandisfield,MA,Berkshire
61,1260,South Lee,MA,Berkshire
62,1266,West Stockbridge,MA,Berkshire
63,1267,Williamstown,MA,Berkshire
64,1270,Windsor,MA,Berkshire
65,1301,Greenfield,MA,Franklin
66,1330,Ashfield,MA,Franklin
67,1340,Colrain,MA,Franklin
68,1342,Deerfield,MA,Franklin
69,1343,Drury,MA,Berkshire
70,1349,Millers Falls,MA,Franklin
71,1351,Montague,MA,Franklin
72,1355,New Salem,MA,Franklin
73,1364,Orange,MA,Franklin
74,1373,South Deerfield,MA,Franklin
75,1376,Turners Falls,MA,Franklin
76,1379,Wendell,MA,Franklin
77,1432,Ayer,MA,Middlesex
78,1434,Devens,MA,Worcester
79,1438,East Templeton,MA,Worcester
80,1452,Hubbardston,MA,Worcester
81,1467,Still River,MA,Worcester
82,1468,Templeton,MA,Worcester
83,1503,Berlin,MA,Worcester
84,1506,Brookfield,MA,Worcester
85,1523,Lancaster,MA,Worcester
86,1524,Leicester,MA,Worcester
87,1525,Linwood,MA,Worcester
88,1536,North Grafton,MA,Worcester
89,1540,Oxford,MA,Worcester
90,1541,Princeton,MA,Worcester
91,1550,Southbridge,MA,Worcester
92,1564,Sterling,MA,Worcester
93,1583,West Boylston,MA,Worcester
94,1612,Paxton,MA,Worcester
95,1720,Acton,MA,Middlesex
96,1721,Ashland,MA,Middlesex
97,1742,Concord,MA,Middlesex
98,1747,Hopedale,MA,Worcester
99,1760,Natick,MA,Middlesex
100,1770,Sherborn,MA,Middlesex
101,1778,Wayland,MA,Middlesex
102,1803,Burlington,MA,Middlesex
103,1826,Dracut,MA,Middlesex
104,1830,Haverhill,MA,Essex
105,1834,Groveland,MA,Essex
106,1843,Lawrence,MA,Essex
107,1845,North Andover,MA,Essex
108,1867,Reading,MA,Middlesex
109,1876,Tewksbury,MA,Middlesex
110,1901,Lynn,MA,Essex
111,1906,Saugus,MA,Essex
112,1923,Danvers,MA,Essex
113,1940,Lynnfield,MA,Essex
114,1944,Manchester,MA,Essex
115,1950,Newburyport,MA,Essex
116,1951,Newbury,MA,Essex
117,1952,Salisbury,MA,Essex
118,2026,Dedham,MA,Norfolk
119,2032,East Walpole,MA,Norfolk
120,2043,Hingham,MA,Plymouth
121,2048,Mansfield,MA,Bristol
122,2056,Norfolk,MA,Norfolk
123,2067,Sharon,MA,Norfolk
124,2071,South Walpole,MA,Norfolk
125,2093,Wrentham,MA,Norfolk
126,2108,Boston,MA,Suffolk
127,2109,Boston,MA,Suffolk
128,2113,Boston,MA,Suffolk
129,2120,Roxbury Crossing,MA,Suffolk
130,2122,Dorchester,MA,Suffolk
131,2129,Charlestown,MA,Suffolk
132,2132,West Roxbury,MA,Suffolk
133,2135,Brighton,MA,Suffolk
134,2138,Cambridge,MA,Middlesex
135,2139,Cambridge,MA,Middlesex
136,2149,Everett,MA,Middlesex
137,2150,Chelsea,MA,Suffolk
138,2171,Quincy,MA,Norfolk
139,2184,Braintree,MA,Norfolk
140,2189,East Weymouth,MA,Norfolk
141,2203,Boston,MA,Suffolk
142,2210,Boston,MA,Suffolk
143,2215,Boston,MA,Suffolk
144,2332,Duxbury,MA,Plymouth
145,2333,East Bridgewater,MA,Plymouth
146,2343,Holbrook,MA,Norfolk
147,2346,Middleboro,MA,Plymouth
148,2347,Lakeville,MA,Plymouth
149,2357,North Easton,MA,Bristol
150,2359,Pembroke,MA,Plymouth
151,2367,Plympton,MA,Plymouth
152,2370,Rockland,MA,Plymouth
153,2375,South Easton,MA,Bristol
154,2452,Waltham,MA,Middlesex
155,2453,Waltham,MA,Middlesex
156,2459,Newton Center,MA,Middlesex
157,2461,Newton Highlands,MA,Middlesex
158,2462,Newton Lower Falls,MA,Middlesex
159,2466,Auburndale,MA,Middlesex
160,2468,Waban,MA,Middlesex
161,2492,Needham,MA,Norfolk
162,2543,Woods Hole,MA,Barnstable
163,2559,Pocasset,MA,Barnstable
164,2562,Sagamore Beach,MA,Barnstable
165,2564,Siasconset,MA,Nantucket
166,2571,Wareham,MA,Plymouth
167,2584,Nantucket,MA,Nantucket
168,2633,Chatham,MA,Barnstable
169,2639,Dennis Port,MA,Barnstable
170,2643,East Orleans,MA,Barnstable
171,2646,Harwich Port,MA,Barnstable
172,2648,Marstons Mills,MA,Barnstable
173,2652,North Truro,MA,Barnstable
174,2659,South Chatham,MA,Barnstable
175,2660,South Dennis,MA,Barnstable
